province,stray_motions,agri_motions,eqprep_motions,total_motions,avg_len_stray,avg_len_agri,avg_len_eqprep
Isparta,0,0,0,8,,,
Edirne,0,4,1,21,,72.0,72.0
Burdur,0,5,1,16,,72.0,72.0
Muş,0,3,3,82,,72.0,72.0
Adana,0,21,8,183,,72.0,72.0
Batman,0,0,0,28,,,
None,0,27,26,583,,72.0,72.0
Sivas,0,1,1,16,,72.0,72.0
Ordu,0,2,0,19,,72.0,
Kırklareli,0,1,0,12,,72.0,
Şanlıurfa,0,19,9,127,,72.0,72.0
Karabük,0,0,1,23,,,72.0
Giresun,0,1,0,22,,72.0,
Uşak,0,7,2,62,,72.0,72.0
Çorum,0,3,1,16,,72.0,72.0
Ankara,0,9,4,200,,72.0,72.0
Artvin,0,1,0,43,,72.0,
Tokat,0,0,1,8,,,72.0
Ardahan,0,1,1,12,,72.0,72.0
Konya,0,1,0,1,,72.0,
İstanbul,2,12,17,363,72.0,72.0,72.0
Diyarbakır,0,5,11,151,,72.0,72.0
Kayseri,0,0,0,19,,,
Eskişehir,0,1,0,46,,72.0,
Kahramanmaraş,0,1,1,4,,72.0,72.0
Hatay,0,1,15,32,,72.0,72.0
Sakarya,0,0,0,8,,,
Osmaniye,0,0,3,14,,,72.0
Antalya,0,4,0,57,,72.0,
Kocaeli,0,3,5,96,,72.0,72.0
Erzincan,0,0,0,3,,,
Yalova,0,1,0,16,,72.0,
Kars,0,0,1,23,,,72.0
Balıkesir,0,3,0,28,,72.0,
Muğla,0,4,0,81,,72.0,
Siirt,0,0,0,8,,,
Çanakkale,0,1,1,25,,72.0,72.0
Samsun,0,3,0,33,,72.0,
Hakkari,0,1,7,113,,72.0,72.0
Bursa,0,4,2,61,,72.0,72.0
Bitlis,0,4,3,73,,72.0,72.0
Van,0,3,6,102,,72.0,72.0
Karaman,0,3,0,21,,72.0,
Mardin,0,4,4,95,,72.0,72.0
Denizli,0,8,0,64,,72.0,
İzmir,0,7,5,168,,72.0,72.0
Tunceli,0,2,1,30,,72.0,72.0
Aydın,0,4,0,52,,72.0,
Zonguldak,0,0,0,23,,,
Gaziantep,0,2,2,43,,72.0,72.0
Niğde,0,37,2,141,,72.0,72.0
Mersin,0,11,5,178,,72.0,72.0
Malatya,0,2,1,15,,72.0,72.0
Sinop,0,1,0,2,,72.0,
Ağrı,0,16,5,74,,72.0,72.0
Manisa,0,9,0,46,,72.0,
Düzce,0,0,0,14,,,
Tekirdağ,0,5,6,48,,72.0,72.0
Iğdır,0,0,0,10,,,
Bingöl,0,3,2,47,,72.0,72.0
Afyonkarahisar,0,5,2,79,,72.0,72.0
Trabzon,0,6,1,35,,72.0,72.0
Elazığ,0,0,1,4,,,72.0
Bartın,0,0,0,14,,,
Rize,0,0,0,5,,,
Amasya,0,1,0,4,,72.0,
Şırnak,0,1,3,90,,72.0,72.0
Erzurum,0,2,2,66,,72.0,72.0
Aksaray,0,0,0,1,,,
Kastamonu,0,0,0,1,,,
Bolu,0,0,0,3,,,
Bilecik,0,0,0,1,,,
Kırıkkale,0,0,0,1,,,
Yozgat,0,0,1,1,,,72.0
Adıyaman,0,0,2,2,,,72.0
